Project H:\DLS_polymer_1.05_100nm\Poly_1.05_200_nm.aap,TabPage 60,,,Contin output,,,,
,Average,Deviation,,Gamma (s^-1),D (m^2 s^-1,R (nm),Area,
Angle (deg),60,0,,571.66,2.16272,99.04495,0.93968,
Temperature (K),293.0343,0,,134260,507.93701,0.42172,0.00082,
Viscosity (mPI),1.002,0,,1725400,6527.59217,0.03282,0.00797,
Refractive index,1.33,0,,,,,,
,,,,,,,,
Lower bound,2,,,,,,,
Upper bound,220,,,,,,,
,,,,,,,,
Correlations,,,,,,,,
index,t(s),POLY_176,Average,Fit,,,,
,,checked,,,,,,
69,0.08211658,11.32731,,,,,,
70,0.083289674,11.32731,,,,,,
71,0.084462768,10.8022,,,,,,
72,0.085635862,11.36481,,,,,,
73,0.086808956,11.10226,,,,,,
74,0.08798205,10.65217,,,,,,
75,0.089155144,10.68968,,,,,,
76,0.090328238,10.91472,,,,,,
77,0.091501332,10.57715,,,,,,
78,0.092674426,11.32731,,,,,,
79,0.09384752,11.55235,,,,,,
80,0.095020614,10.08955,,,,,,
81,0.096193708,11.02725,,,,,,
82,0.097366802,11.92743,,,,,,
83,0.098539896,10.05205,,,,,,
84,0.09971299,11.70238,,,,,,
85,0.100886084,10.68968,,,,,,
86,0.102059178,10.76469,,,,,,
87,0.103232272,11.17728,,,,,,
88,0.104405366,10.8022,,,,,,
89,0.10557846,11.47734,,,,,,
90,0.106751554,11.36481,,,,,,
91,0.107924648,11.47734,,,,,,
92,0.109097742,11.88992,,,,,,
93,0.110270836,11.25229,,,,,,
94,0.11144393,10.76469,,,,,,
95,0.112617024,10.68968,,,,,,
96,0.113790118,11.21478,,,,,,
97,0.114963212,10.01454,,,,,,
98,0.116136306,10.72718,,,,,,
99,0.1173094,10.61466,,,,,,
100,0.118482494,11.36481,,,,,,
101,0.119655588,11.02725,,,,,,
102,0.120828682,11.40232,,,,,,
103,0.122001776,11.7774,,,,,,
104,0.12317487,11.55235,,,,,,
105,0.124347964,10.46463,,,,,,
106,0.125521058,11.02725,,,,,,
107,0.126694152,11.10226,,,,,,
108,0.127867246,10.76469,,,,,,
109,0.12904034,11.66488,,,,,,
110,0.130213434,11.32731,,,,,,
111,0.131386528,10.57715,,,,,,
112,0.132559622,11.13977,,,,,,
113,0.133732716,11.21478,,,,,,
114,0.13490581,11.55235,,,,,,
115,0.136078904,11.17728,,,,,,
116,0.137251998,11.7774,,,,,,
117,0.138425092,10.50214,,,,,,
118,0.139598186,12.18998,,,,,,
119,0.14077128,10.68968,,,,,,
120,0.141944374,10.95223,,,,,,
121,0.143117468,11.17728,,,,,,
122,0.144290562,11.81491,,,,,,
123,0.145463656,11.40232,,,,,,
124,0.14663675,10.50214,,,,,,
125,0.147809844,11.13977,,,,,,
126,0.148982938,10.61466,,,,,,
127,0.150156032,11.06475,,,,,,
128,0.151329126,10.76469,,,,,,
129,0.15250222,11.58986,,,,,,
130,0.153675314,11.47734,,,,,,
131,0.154848408,11.36481,,,,,,
132,0.156021502,11.21478,,,,,,
133,0.157194596,10.8022,,,,,,
134,0.15836769,11.70238,,,,,,
135,0.159540784,11.62737,,,,,,
136,0.160713878,11.10226,,,,,,
137,0.161886972,10.95223,,,,,,
138,0.163060066,11.17728,,,,,,
139,0.16423316,11.66488,,,,,,
140,0.165406254,10.98974,,,,,,
141,0.166579348,11.02725,,,,,,
142,0.167752442,11.02725,,,,,,
143,0.168925536,9.977032,,,,,,
144,0.17009863,10.61466,,,,,,
145,0.171271724,11.47734,,,,,,
146,0.172444818,10.98974,,,,,,
147,0.173617912,12.00244,,,,,,
148,0.174791006,10.53965,,,,,,
149,0.1759641,12.34001,,,,,,
150,0.177137194,11.06475,,,,,,
151,0.178310288,10.83971,,,,,,
152,0.179483382,11.47734,,,,,,
153,0.180656476,11.36481,,,,,,
154,0.18182957,11.02725,,,,,,
155,0.183002664,10.91472,,,,,,
156,0.184175758,10.3146,,,,,,
157,0.185348852,10.61466,,,,,,
158,0.186521946,11.36481,,,,,,
159,0.18769504,11.02725,,,,,,
160,0.188868134,10.72718,,,,,,
161,0.190041228,11.62737,,,,,,
162,0.191214322,10.35211,,,,,,
163,0.192387416,10.65217,,,,,,
164,0.19356051,10.68968,,,,,,
165,0.194733604,10.83971,,,,,,
166,0.195906698,10.95223,,,,,,
167,0.197079792,11.2898,,,,,,
168,0.198252886,10.83971,,,,,,
169,0.19942598,11.32731,,,,,,
170,0.200599074,11.21478,,,,,,
171,0.201772168,10.91472,,,,,,
172,0.202945262,11.66488,,,,,,
173,0.204118356,10.95223,,,,,,
174,0.20529145,10.95223,,,,,,
175,0.206464544,11.55235,,,,,,
176,0.207637638,10.8022,,,,,,
177,0.208810732,11.43983,,,,,,
178,0.209983826,10.57715,,,,,,
179,0.21115692,11.10226,,,,,,
180,0.212330014,11.40232,,,,,,
181,0.213503108,10.61466,,,,,,
182,0.214676202,11.62737,,,,,,
183,0.215849296,11.06475,,,,,,
184,0.21702239,10.76469,,,,,,
185,0.218195484,10.46463,,,,,,
186,0.219368578,10.35211,,,,,,
187,0.220541672,10.3146,,,,,,
188,0.221714766,11.70238,,,,,,
189,0.22288786,10.72718,,,,,,
190,0.224060954,10.12706,,,,,,
191,0.225234048,10.95223,,,,,,
192,0.226407142,11.2898,,,,,,
193,0.227580236,11.32731,,,,,,
194,0.22875333,11.2898,,,,,,
195,0.229926424,10.65217,,,,,,
196,0.231099518,10.35211,,,,,,
197,0.232272612,10.87722,,,,,,
198,0.233445706,11.13977,,,,,,
199,0.2346188,10.91472,,,,,,
200,0.235791894,11.70238,,,,,,
201,0.236964988,11.51484,,,,,,
202,0.238138082,11.55235,,,,,,
203,0.239311176,11.17728,,,,,,
204,0.24048427,11.17728,,,,,,
205,0.241657364,10.57715,,,,,,
206,0.242830458,11.13977,,,,,,
207,0.244003552,11.13977,,,,,,
208,0.245176646,10.76469,,,,,,
209,0.24634974,10.83971,,,,,,
210,0.247522834,10.3146,,,,,,
211,0.248695928,11.02725,,,,,,
212,0.249869022,11.02725,,,,,,
213,0.251042116,11.25229,,,,,,
214,0.25221521,11.73989,,,,,,
215,0.253388304,10.27709,,,,,,
216,0.254561398,11.13977,,,,,,
217,0.255734492,11.13977,,,,,,
218,0.256907586,11.06475,,,,,,
219,0.25808068,11.06475,,,,,,
220,0.259253774,10.76469,,,,,,
221,0.260426868,10.50214,,,,,,
222,0.261599962,11.10226,,,,,,
223,0.262773056,11.32731,,,,,,
224,0.26394615,11.25229,,,,,,
225,0.265119244,11.13977,,,,,,
226,0.266292338,11.47734,,,,,,
227,0.267465432,10.46463,,,,,,
228,0.268638526,11.73989,,,,,,
229,0.26981162,11.36481,,,,,,
230,0.270984714,10.53965,,,,,,
231,0.272157808,11.10226,,,,,,
232,0.273330902,10.65217,,,,,,
233,0.274503996,10.95223,,,,,,
234,0.27567709,11.32731,,,,,,
235,0.276850184,10.53965,,,,,,
236,0.278023278,11.13977,,,,,,
237,0.279196372,11.81491,,,,,,
238,0.280369466,11.17728,,,,,,
239,0.28154256,10.50214,,,,,,
240,0.282715654,10.95223,,,,,,
241,0.283888748,10.46463,,,,,,
242,0.285061842,10.8022,,,,,,
243,0.286234936,11.13977,,,,,,
244,0.28740803,10.98974,,,,,,
245,0.288581124,10.46463,,,,,,
246,0.289754218,11.85241,,,,,,
247,0.290927312,10.53965,,,,,,
248,0.292100406,10.72718,,,,,,
249,0.2932735,11.40232,,,,,,
250,0.294446594,10.3146,,,,,,
251,0.295619688,10.83971,,,,,,
252,0.296792782,10.95223,,,,,,
253,0.297965876,10.91472,,,,,,
254,0.29913897,10.76469,,,,,,
